entrez	symbol	description	locus	hprd	hgnc	mim	refpro	refdna	ensembl	uniprot	type	dominant	recessive	duplicability	origin	degree	complex	mirna	function	expression	chromosome	tstart	tend	aliases	main_refseq	type_of_screening	cancer_types
129684	CNTNAP5	contactin associated protein-like 5	2q14.3	16732	18748	610519	NP_570129;XP_006712321	NM_130773;NM_138996;XM_006712258	ENSP00000399013	Q8WYK1	can	0	0	0	Eukaryotes	0	0	0	Signal transduction	-1	chr2	124783228	125671862	|caspr5|	NP_570129	WES,WGS	esophagus
6262	RYR2	ryanodine receptor 2 (cardiac)	1q43	1619	10484	180902	NP_001026;XP_006711865;XP_006711866;XP_006711867;XP_006711868;XP_006711869;XP_006711870;XP_006711871;XP_006711872;XP_006711873	NM_001035;XM_006711802;XM_006711803;XM_006711804;XM_006711805;XM_006711806;XM_006711807;XM_006711808;XM_006711809;XM_006711810	ENSP00000355533	Q92736	can	0	0	0	Last Universal Common Ancestor	24	1	1	Cell cycle,Cellular processes,Development,Multicellular activities,Regulation of intracellular processes and metabolism,Signal transduction	25	chr1	237205822	237995944	|ARVC2|RYR-2|RyR|VTSIP|	NP_001026	WES	blood,breast
53353	LRP1B	low density lipoprotein receptor-related protein 1B	2q21.2	16383	6693	608766	NP_061027	NM_018557	ENSP00000374135	Q9NZR2	can	0	0	0	Metazoans	8	0	2	Cellular processes	24	chr2	140990758	142888298	|LRP-DIT|LRPDIT|	NP_061027	Gene panel,WES	blood,colorectal,gastric,kidney,lung,skin
94025	MUC16	mucin 16, cell surface associated	19p13.2	-	15582	606154	NP_078966;XP_006723004	NM_024690;XM_006722941	ENSP00000381008	Q8WXI7	can	0	0	0	Vertebrates	4	0	0	-1	1	chr19	9056228	9091814	|CA125|	NP_078966	Gene panel,WES	brain,lung
7273	TTN	titin	2q31	1787	12403	188840	NP_001243779;NP_001254479;NP_003310;NP_596869;NP_596870;NP_597676;NP_597681;XP_005246888;XP_006712786;XP_006712787;XP_006712788	NM_001256850;NM_001267550;NM_003319;NM_133378;NM_133379;NM_133432;NM_133437;XM_005246831;XM_006712723;XM_006712724;XM_006712725	ENSP00000343764	Q8WZ42	can	0	0	0	Eukaryotes	104	1	0	Cell cycle,Cellular metabolism,Cellular processes,Development,Multicellular activities,Signal transduction	62	chr2	179583892	179669369	|CMD1G|CMH9|CMPD4|EOMFC|HMERF|LGMD2J|MYLK5|TMD|	NP_001254479	WES,WGS	blood,brain,colorectal,gastric
64478	CSMD1	CUB and Sushi multiple domains 1	8p23.2	10523	14026	608397	NP_150094	NM_033225	ENSP00000441462	Q96PZ7	can	0	0	0	Eukaryotes	3	0	0	-1	-1	chr8	2796110	4851938	|PPP1R24|	NP_150094	WES	colorectal
114788	CSMD3	CUB and Sushi multiple domains 3	8q23.3	16329	19291	608399	NP_443132;NP_937756;NP_937757	NM_052900;NM_198123;NM_198124	ENSP00000297405	Q7Z407	can	0	0	0	Eukaryotes	0	0	0	-1	-1	chr8	113237003	114449083	|NA|	NP_937756	WES,WGS-WES	bladder,blood,gastric,head_and_neck,kidney,liver,lung,ovary,uterus
26047	CNTNAP2	contactin associated protein-like 2	7q35	5197	13830	604569	NP_054860;XP_006715982	NM_014141;XM_006715919	ENSP00000354778	Q9UHC6	can	0	0	0	Eukaryotes	9	1	2	Multicellular activities,Signal transduction	52	chr7	146471359	148112705	|AUTS15|CASPR2|CDFE|PTHSL1|	NP_054860	WES	head_and_neck,lung,pancreas
9378	NRXN1	neurexin 1	2p16.3	11858	8008	600565	NP_001129131;NP_004792;NP_620072;XP_005264699;XP_005264700;XP_006712196;XP_006712197;XP_006712198;XP_006712199;XP_006712200;XP_006712201;XP_006712202;XP_006712203;XP_006712204;XP_006712205;XP_006712206;XP_006712207	NM_001135659;NM_004801;NM_138735;XM_005264642;XM_005264643;XM_006712133;XM_006712134;XM_006712135;XM_006712136;XM_006712137;XM_006712138;XM_006712139;XM_006712140;XM_006712141;XM_006712142;XM_006712143;XM_006712144	ENSP00000385142	Q9ULB1	can	0	0	0	Metazoans	28	1	0	Cell cycle,Cell motility and interactions,Development	42	chr2	50149085	51255411	|Hs.22998|PTHSL2|SCZD17|	NP_001129131	WES,WGS-WES	colorectal,kidney
4585	MUC4	mucin 4, cell surface associated	3q29	11829	7514	158372	NP_004523;NP_060876;NP_612154	NM_004532;NM_018406;NM_138297;NM_138298;NM_138299	ENSP00000417498	Q99102	can	0	0	0	Metazoans	2	0	2	Cell motility and interactions	18	chr3	195474050	195518372	|ASGP|HSA276359|MUC-4|	NP_060876	WGS	skin
27445	PCLO	piccolo presynaptic cytomatrix protein	7q11.23-q21.3	16078	13406	604918	NP_055325;NP_149015;XP_006715989	NM_014510;NM_033026;XM_006715926	ENSP00000334319	Q9Y6V0	can	0	0	0	Metazoans	4	0	0	Cellular processes,Multicellular activities,Signal transduction	72	chr7	82387894	82791908	|ACZ|	NP_149015	WES	blood
